Column,Missing Count,Missing Percentage
"Table name: bc5a9d1c-1f3b-4629-9cfb-0d1ccc9ac81f Last updated: Jun 26, 2026 11:24 AM",0,0.0
Unnamed: 1,0,0.0
Unnamed: 2,0,0.0
Unnamed: 3,0,0.0
Unnamed: 4,0,0.0
Unnamed: 5,0,0.0
Unnamed: 6,0,0.0
Unnamed: 7,0,0.0
Unnamed: 8,0,0.0
Unnamed: 9,0,0.0
Unnamed: 10,0,0.0
Unnamed: 11,0,0.0
Unnamed: 12,0,0.0
Unnamed: 13,0,0.0
Unnamed: 14,0,0.0
Unnamed: 15,0,0.0
Unnamed: 16,0,0.0
Unnamed: 17,0,0.0
Unnamed: 18,0,0.0
Unnamed: 19,0,0.0
Unnamed: 20,0,0.0
Unnamed: 21,0,0.0
